  238.1100     5.7310    85.9650 
  239.3800     5.7680    86.5200 
  240.6100     5.8040    87.0600 
  241.6600     5.8370    87.5550 
  242.3900     5.8660    87.9900 
  243.6000     5.9020    88.5300 
  244.6500     5.9350    89.0250 
  245.8800     5.9700    89.5500 
  247.0600     6.0050    90.0750 
  248.1100     6.0400    90.6000 
  249.2700     6.0750    91.1250 
  250.2200     6.1080    91.6200 
  251.4000     6.1420    92.1300 
  252.6100     6.1780    92.6700 
  253.2600     6.2070    93.1050 
  254.5800     6.2430    93.6450 
  255.6100     6.2770    94.1550 
  256.5200     6.3090    94.6350 
  257.7100     6.3440    95.1600 
  259.0800     6.3830    95.7450 
  260.2500     6.4180    96.2700 
  261.3600     6.4530    96.7950 
  262.1800     6.4850    97.2750 
  263.2100     6.5170    97.7550 
  264.2700     6.5510    98.2650 
  265.4000     6.5860    98.7900 
  266.3200     6.6180    99.2700 
  267.3000     6.6520    99.7800 
  268.3800     6.6870   100.3050 
  269.5900     6.7230   100.8450 
  270.6800     6.7590   101.3850 
  271.7600     6.7930   101.8950 
  272.7100     6.8270   102.4050 
  273.6800     6.8590   102.8850 
  274.8500     6.8940   103.4100 
  276.1100     6.9310   103.9650 
  277.0200     6.9650   104.4750 
  278.0400     6.9980   104.9700 
  279.0800     7.0320   105.4800 
  280.2800     7.0690   106.0350 
  281.3200     7.1040   106.5600 
  282.2000     7.1360   107.0400 
  283.2000     7.1700   107.5500 
  284.0900     7.2020   108.0300 
  285.0100     7.2340   108.5100 
  286.1100     7.2690   109.0350 
  287.2400     7.3050   109.5750 
  288.1500     7.3380   110.0700 
  289.0000     7.3710   110.5650 
  290.1900     7.4060   111.0900 
  291.3300     7.4420   111.6300 
  292.4300     7.4780   112.1700 
  293.3000     7.5120   112.6800 
  294.1200     7.5420   113.1300 
  295.0400     7.5760   113.6400 
  296.0200     7.6090   114.1350 
  297.2100     7.6450   114.6750 
  298.3000     7.6810   115.2150 
  299.2000     7.7150   115.7250 
  300.2900     7.7510   116.2650 
  301.2800     7.7860   116.7900 
  302.2500     7.8190   117.2850 
  303.2000     7.8540   117.8100 
  303.9700     7.8840   118.2600 
  305.1000     7.9200   118.8000 
  306.0300     7.9540   119.3100 
  306.8700     7.9860   119.7900 
  307.9500     8.0220   120.3300 
  309.0800     8.0570   120.8550 
  310.0900     8.0940   121.4100 
  310.9000     8.1260   121.8900 
  311.7500     8.1590   122.3850 
  312.9100     8.1950   122.9250 
  313.8700     8.2290   123.4350 
  314.6900     8.2630   123.9450 
  315.6900     8.2950   124.4250 
  316.5800     8.3290   124.9350 
  317.3900     8.3620   125.4300 
  318.8000     8.4020   126.0300 
  319.7700     8.4370   126.5550 
  320.7400     8.4700   127.0500 
  321.6800     8.5040   127.5600 
  322.3300     8.5340   128.0100 
  323.4700     8.5690   128.5350 
  324.4800     8.6050   129.0750 
  325.1900     8.6360   129.5400 
  326.1500     8.6690   130.0350 
  327.2500     8.7050   130.5750 
  328.4100     8.7440   131.1600 
  329.3600     8.7790   131.6850 
  330.2000     8.8130   132.1950 
  331.1600     8.8460   132.6900 
