#
#
#
#
#
#
#
#   Quelldatei:groundel100-25.gxx  
#    Zieldatei:groundel100-25.dat  
#
#  Querschnitt:   170.410
#   Messlaenge:    15.000
#     [N/mm**2]            [N]        [%-ext]       [%-trav]            [s]           [mm]
#
         0.6243       106.3800        75.0733        75.0733      7244.4800       420.7420
         0.6240       106.3400        75.0733        75.0733      7244.9902       420.7420
         0.6237       106.2800        75.0733        75.0733      7245.5000       420.7420
         0.6045       103.0200        75.0733        75.0733      7305.5000       420.7420
         0.5948       101.3600        75.0733        75.0733      7365.5298       420.7020
         0.5895       100.4600        75.0733        75.0733      7425.5601       420.7020
         0.5856        99.8000        75.0733        75.0733      7485.5898       420.7020
         0.5825        99.2600        75.0733        75.0733      7545.6201       420.7020
         0.5799        98.8200        75.0733        75.0733      7605.6499       420.7020
         0.5777        98.4400        75.0733        75.0733      7665.6802       420.7020
         0.5757        98.1000        75.0733        75.0733      7725.7100       420.7020
         0.5740        97.8200        75.0733        75.0733      7785.7402       420.7020
         0.5724        97.5400        75.0733        75.0733      7845.7700       420.7020
         0.5710        97.3000        75.0733        75.0733      7905.7998       420.7020
         0.5697        97.0800        75.0733        75.0733      7965.8301       420.7020
         0.5685        96.8800        75.0733        75.0733      8025.8599       420.7020
         0.5673        96.6800        75.0733        75.0733      8085.8901       420.7020
         0.5663        96.5000        75.0733        75.0733      8145.9199       420.7020
         0.5653        96.3400        75.0733        75.0733      8205.9502       420.7020
         0.5643        96.1600        75.0733        75.0733      8265.9805       420.7020
         0.5635        96.0200        75.0733        75.0733      8326.0098       420.7020
         0.5610        95.6000        75.0733        75.0733      8386.0400       420.6580
         0.5604        95.5000        75.0733        75.0733      8446.0703       420.6580
         0.5597        95.3800        75.0733        75.0733      8506.0996       420.6580
         0.5591        95.2800        75.0733        75.0733      8566.1299       420.6580
         0.5584        95.1600        75.0733        75.0733      8626.1602       420.6580
         0.5578        95.0600        75.0733        75.0733      8686.1904       420.6580
         0.5571        94.9400        75.0733        75.0733      8746.2197       420.6580
         0.5565        94.8400        75.0733        75.0733      8806.2500       420.6580
         0.5558        94.7200        75.0733        75.0733      8866.2803       420.6580
         0.5554        94.6400        75.0733        75.0733      8926.3096       420.6580
         0.5547        94.5200        75.0733        75.0733      8986.3398       420.6580
         0.5541        94.4200        75.0733        75.0733      9046.3701       420.6580
         0.5536        94.3400        75.0733        75.0733      9106.4004       420.6580
         0.5530        94.2400        75.0733        75.0733      9166.4297       420.6580
         0.5525        94.1600        75.0733        75.0733      9226.4600       420.6580
         0.5521        94.0800        75.0733        75.0733      9286.4902       420.6580
         0.5516        94.0000        75.0733        75.0733      9346.5195       420.6580
         0.5511        93.9200        75.0733        75.0733      9406.5498       420.6580
         0.5507        93.8400        75.0733        75.0733      9466.5801       420.6580
         0.5502        93.7600        75.0733        75.0733      9526.6104       420.6580
         0.5497        93.6800        75.0733        75.0733      9586.6396       420.6580
         0.5493        93.6000        75.0733        75.0733      9646.6699       420.6580
         0.5490        93.5600        75.0733        75.0733      9706.7002       420.6580
         0.5484        93.4600        75.0733        75.0733      9766.7305       420.6580
         0.5481        93.4000        75.0733        75.0733      9826.7598       420.6580
         0.5476        93.3200        75.0733        75.0733      9886.7900       420.6580
         0.5473        93.2600        75.0733        75.0733      9946.8203       420.6580
         0.5469        93.2000        75.0733        75.0733     10006.8496       420.6580
         0.5466        93.1400        75.0733        75.0733     10066.8799       420.6580
         0.5462        93.0800        75.0733        75.0733     10126.9102       420.6580
         0.5459        93.0200        75.0733        75.0733     10186.9404       420.6580
         0.5456        92.9800        75.0733        75.0733     10246.9697       420.6580
         0.5452        92.9000        75.0733        75.0733     10307.0000       420.6580
         0.5448        92.8400        75.0733        75.0733     10367.0303       420.6580
         0.5446        92.8000        75.0733        75.0733     10427.0596       420.6580
         0.5442        92.7400        75.0733        75.0733     10487.0898       420.6580
         0.5439        92.6800        75.0733        75.0733     10547.1201       420.6580
         0.5436        92.6400        75.0733        75.0733     10607.1504       420.6580
         0.5433        92.5800        75.0733        75.0733     10667.1797       420.6580
         0.5429        92.5200        75.0733        75.0733     10727.2100       420.6580
         0.5427        92.4800        75.0733        75.0733     10787.2402       420.6580
         0.5425        92.4400        75.0733        75.0733     10815.9502       420.6580
         0.5425        92.4400        75.0733        75.0733     10816.0703       420.6580
         0.5425        92.4400        75.0733        75.0733     10816.1904       420.6890
         0.5464        93.1200        75.3000        75.3000     10816.3096       420.7650
         0.5515        93.9800        75.5933        75.5933     10816.4297       420.8660
         0.5628        95.9000        76.3400        76.3400     10816.5498       421.0930
         0.5734        97.7200        77.1467        77.1467     10816.6699       421.3200
         0.5828        99.3200        77.8267        77.8267     10816.7900       421.5350
         0.5915       100.8000        78.5067        78.5067     10816.9102       421.7360
         0.5998       102.2200        79.2200        79.2200     10817.0303       421.9390
         0.6065       103.3600        79.8333        79.8333     10817.1504       422.1160
         0.6132       104.5000        80.3467        80.3467     10817.2695       422.2920
         0.6200       105.6600        80.9333        80.9333     10817.3896       422.4680
         0.6264       106.7400        81.5133        81.5133     10817.5098       422.6440
         0.6326       107.8000        82.1000        82.1000     10817.6299       422.8190
         0.6393       108.9400        82.7133        82.7133     10817.7500       423.0040
         0.6459       110.0600        83.2933        83.2933     10817.8701       423.1870
         0.6522       111.1400        83.8800        83.8800     10817.9902       423.3680
         0.6585       112.2200        84.4933        84.4933     10818.1104       423.5480
         0.6649       113.3000        85.0733        85.0733     10818.2305       423.7290
         0.6707       114.3000        85.7200        85.7200     10818.3496       423.9080
         0.6767       115.3200        86.3067        86.3067     10818.4697       424.0880
         0.6824       116.2800        86.9200        86.9200     10818.5898       424.2680
         0.6880       117.2400        87.5333        87.5333     10818.7100       424.4470
         0.6939       118.2400        88.1133        88.1133     10818.8301       424.6270
         0.6994       119.1800        88.6333        88.6333     10818.9502       424.7990
         0.7048       120.1000        89.1867        89.1867     10819.0703       424.9720
         0.7105       121.0800        89.7667        89.7667     10819.1904       425.1540
         0.7169       122.1600        90.3467        90.3467     10819.3096       425.3450
         0.7232       123.2400        90.9933        90.9933     10819.4297       425.5370
         0.7292       124.2600        91.6467        91.6467     10819.5498       425.7290
         0.7353       125.3000        92.2600        92.2600     10819.6699       425.9200
         0.7409       126.2600        92.8400        92.8400     10819.7900       426.1040
         0.7464       127.2000        93.4200        93.4200     10819.9102       426.2810
         0.7518       128.1200        93.9733        93.9733     10820.0303       426.4570
         0.7572       129.0400        94.5867        94.5867     10820.1504       426.6400
         0.7630       130.0200        95.1400        95.1400     10820.2695       426.8240
         0.7690       131.0400        95.7200        95.7200     10820.3896       427.0120
         0.7748       132.0400        96.3333        96.3333     10820.5098       427.2030
         0.7807       133.0400        96.9200        96.9200     10820.6299       427.3950
         0.7866       134.0400        97.5333        97.5333     10820.7500       427.5830
         0.7923       135.0200        98.1467        98.1467     10820.8701       427.7700
         0.7977       135.9400        98.7600        98.7600     10820.9902       427.9570
         0.8036       136.9400        99.3133        99.3133     10821.1104       428.1390
    #
         0.8091       137.8800       100.0600        99.8933     10821.2305       428.3250
    #
    #    0.7994       136.2200       100.3800       100.3800     10821.7402       428.4470
    #    0.7893       134.5000       100.4133       100.4133     10822.2500       428.4130
    #    0.7786       132.6800       100.2533       100.2533     10822.7598       428.3380
    #    0.7717       131.5000       100.1533       100.1533     10823.2695       428.2920
    #    0.7671       130.7200       100.0867       100.0867     10823.7803       428.2700
    #    0.7637       130.1400       100.0867       100.0867     10824.2900       428.2610
    #    0.7604       129.5800       100.0867       100.0867     10824.7998       428.2510
         0.7577       129.1200       100.0600       100.0600     10825.3096       428.2440
         0.7556       128.7600       100.0600       100.0600     10825.8203       428.2440
         0.7537       128.4400       100.0600       100.0600     10826.3301       428.2430
         0.7520       128.1400       100.0600       100.0600     10826.8398       428.2430
         0.7503       127.8600       100.0600       100.0600     10827.3496       428.2430
         0.7488       127.6000       100.0600       100.0600     10827.8604       428.2430
         0.7474       127.3600       100.0600       100.0600     10828.3701       428.2430
         0.7460       127.1200       100.0600       100.0600     10828.8799       428.2430
         0.7447       126.9000       100.0600       100.0600     10829.3896       428.2430
         0.7435       126.7000       100.0600       100.0600     10829.9004       428.2430
         0.7423       126.5000       100.0600       100.0600     10830.4102       428.2430
         0.7412       126.3000       100.0600       100.0600     10830.9199       428.2430
         0.7402       126.1400       100.0600       100.0600     10831.4297       428.2430
         0.7393       125.9800       100.0600       100.0600     10831.9404       428.2430
         0.7382       125.8000       100.0600       100.0600     10832.4502       428.2430
         0.7374       125.6600       100.0600       100.0600     10832.9600       428.2430
         0.7366       125.5200       100.0600       100.0600     10833.4697       428.2430
         0.7356       125.3600       100.0600       100.0600     10833.9805       428.2430
         0.7349       125.2400       100.0600       100.0600     10834.4902       428.2430
         0.7341       125.1000       100.0600       100.0600     10835.0000       428.2430
  #      0.7333       124.9600       100.0867       100.0867     10835.5098       428.2410
  #      0.7319       124.7200       100.0867       100.0867     10836.0195       428.2310
  #      0.7308       124.5400       100.0867       100.0867     10836.5303       428.2250
  #      0.7299       124.3800       100.0867       100.0867     10837.0400       428.2190
         0.7288       124.2000       100.0600       100.0600     10837.5498       428.2090
         0.7284       124.1200       100.0600       100.0600     10838.0596       428.2080
         0.7277       124.0000       100.0600       100.0600     10838.5703       428.2080
         0.7272       123.9200       100.0600       100.0600     10839.0801       428.2080
         0.7266       123.8200       100.0600       100.0600     10839.5898       428.2080
         0.7261       123.7400       100.0600       100.0600     10840.0996       428.2080
         0.7257       123.6600       100.0600       100.0600     10840.6104       428.2080
         0.7252       123.5800       100.0600       100.0600     10841.1201       428.2080
         0.7246       123.4800       100.0600       100.0600     10841.6299       428.2080
         0.7240       123.3800       100.0600       100.0600     10842.1396       428.2070
         0.7237       123.3200       100.0600       100.0600     10842.6504       428.2070
         0.7232       123.2400       100.0600       100.0600     10843.1602       428.2070
         0.7227       123.1600       100.0600       100.0600     10843.6699       428.2070
         0.7224       123.1000       100.0600       100.0600     10844.1797       428.2070
         0.7220       123.0400       100.0600       100.0600     10844.6904       428.2070
         0.7214       122.9400       100.0600       100.0600     10845.2002       428.2070
         0.7211       122.8800       100.0600       100.0600     10845.7100       428.2070
         0.7206       122.8000       100.0600       100.0600     10846.2197       428.2070
         0.7203       122.7400       100.0600       100.0600     10846.7305       428.2070
         0.7199       122.6800       100.0600       100.0600     10847.2402       428.2070
         0.7194       122.6000       100.0600       100.0600     10847.7500       428.2070
         0.7191       122.5400       100.0600       100.0600     10848.2598       428.2070
         0.7187       122.4800       100.0600       100.0600     10848.7695       428.2070
         0.7184       122.4200       100.0600       100.0600     10849.2803       428.2070
         0.7182       122.3800       100.0600       100.0600     10849.7900       428.2070
         0.7177       122.3000       100.0600       100.0600     10850.2998       428.2070
         0.7173       122.2400       100.0600       100.0600     10850.8096       428.2070
    #    0.6948       118.4000       100.0867       100.0867     10910.8398       428.1840
         0.6854       116.8000       100.0600       100.0600     10970.8701       428.1670
         0.6793       115.7600       100.0600       100.0600     11030.9004       428.1670
         0.6748       115.0000       100.0600       100.0600     11090.9297       428.1670
         0.6713       114.4000       100.0600       100.0600     11150.9600       428.1670
         0.6683       113.8800       100.0600       100.0600     11210.9902       428.1670
         0.6643       113.2000       100.0600       100.0600     11271.0195       428.1320
         0.6624       112.8800       100.0600       100.0600     11331.0498       428.1310
         0.6605       112.5600       100.0600       100.0600     11391.0801       428.1310
         0.6588       112.2600       100.0600       100.0600     11451.1104       428.1310
         0.6572       112.0000       100.0600       100.0600     11511.1396       428.1310
         0.6558       111.7600       100.0600       100.0600     11571.1699       428.1310
         0.6529       111.2600       100.0600       100.0600     11631.2002       428.0950
         0.6518       111.0800       100.0600       100.0600     11691.2305       428.0950
         0.6507       110.8800       100.0600       100.0600     11751.2598       428.0950
         0.6497       110.7200       100.0600       100.0600     11811.2900       428.0950
         0.6487       110.5400       100.0600       100.0600     11871.3203       428.0950
         0.6477       110.3800       100.0600       100.0600     11931.3496       428.0950
         0.6467       110.2000       100.0600       100.0600     11991.3799       428.0950
         0.6459       110.0600       100.0600       100.0600     12051.4102       428.0950
         0.6450       109.9200       100.0600       100.0600     12111.4404       428.0950
         0.6442       109.7800       100.0600       100.0600     12171.4697       428.0950
         0.6434       109.6400       100.0600       100.0600     12231.5000       428.0950
         0.6426       109.5000       100.0600       100.0600     12291.5303       428.0950
         0.6420       109.4000       100.0600       100.0600     12351.5596       428.0950
         0.6410       109.2400       100.0600       100.0600     12411.5898       428.0950
         0.6405       109.1400       100.0600       100.0600     12471.6201       428.0950
         0.6399       109.0400       100.0600       100.0600     12531.6504       428.0950
         0.6392       108.9200       100.0600       100.0600     12591.6797       428.0950
         0.6386       108.8200       100.0600       100.0600     12651.7100       428.0950
         0.6379       108.7000       100.0600       100.0600     12711.7402       428.0950
         0.6374       108.6200       100.0600       100.0600     12771.7695       428.0950
         0.6367       108.5000       100.0600       100.0600     12831.7998       428.0950
         0.6362       108.4200       100.0600       100.0600     12891.8301       428.0950
         0.6358       108.3400       100.0600       100.0600     12951.8604       428.0950
         0.6352       108.2400       100.0600       100.0600     13011.8896       428.0950
         0.6346       108.1400       100.0600       100.0600     13071.9199       428.0950
         0.6341       108.0600       100.0600       100.0600     13131.9502       428.0950
         0.6319       107.6800       100.0600       100.0600     13191.9805       428.0560
         0.6318       107.6600       100.0600       100.0600     13252.0098       428.0560
         0.6313       107.5800       100.0600       100.0600     13312.0400       428.0560
         0.6308       107.5000       100.0600       100.0600     13372.0703       428.0560
         0.6305       107.4400       100.0600       100.0600     13432.0996       428.0560
         0.6300       107.3600       100.0600       100.0600     13492.1299       428.0560
         0.6295       107.2800       100.0600       100.0600     13552.1602       428.0560
         0.6291       107.2000       100.0600       100.0600     13612.1904       428.0560
         0.6287       107.1400       100.0600       100.0600     13672.2197       428.0560
         0.6282       107.0600       100.0600       100.0600     13732.2500       428.0560
         0.6278       106.9800       100.0600       100.0600     13792.2803       428.0560
         0.6275       106.9400       100.0600       100.0600     13852.3096       428.0560
         0.6271       106.8600       100.0600       100.0600     13912.3398       428.0560
         0.6267       106.8000       100.0600       100.0600     13972.3701       428.0560
         0.6264       106.7400       100.0600       100.0600     14032.4004       428.0560
         0.6260       106.6800       100.0600       100.0600     14092.4297       428.0560
         0.6256       106.6000       100.0600       100.0600     14152.4600       428.0560
         0.6252       106.5400       100.0600       100.0600     14212.4902       428.0560
         0.6248       106.4800       100.0600       100.0600     14272.5195       428.0560
         0.6246       106.4400       100.0600       100.0600     14332.5498       428.0560
         0.6241       106.3600       100.0600       100.0600     14392.5801       428.0560
         0.6240       106.3400       100.0600       100.0600     14421.2900       428.0560
         0.6240       106.3400       100.0600       100.0600     14421.4102       428.0560
         0.6240       106.3400       100.0600       100.0600     14421.5303       428.0500
         0.6166       105.0800        99.6667        99.6667     14421.6504       427.9090
         0.6092       103.8200        99.2133        99.2133     14421.7695       427.7710
         0.6006       102.3400        98.6000        98.6000     14421.8896       427.5890
         0.5909       100.7000        97.9533        97.9533     14422.0098       427.3820
         0.5814        99.0800        97.3067        97.3067     14422.1299       427.1720
         0.5734        97.7200        96.6267        96.6267     14422.2500       426.9760
         0.5660        96.4600        96.0133        96.0133     14422.3701       426.7810
         0.5589        95.2400        95.4267        95.4267     14422.4902       426.5930
         0.5524        94.1400        94.8467        94.8467     14422.6104       426.4130
         0.5463        93.1000        94.2333        94.2333     14422.7305       426.2330
         0.5402        92.0600        93.6467        93.6467     14422.8496       426.0530
         0.5342        91.0400        93.0667        93.0667     14422.9697       425.8730
         0.5281        90.0000        92.4533        92.4533     14423.0898       425.6910
         0.5223        89.0000        91.8400        91.8400     14423.2100       425.5080
         0.5166        88.0400        91.1933        91.1933     14423.3301       425.3250
         0.5115        87.1600        90.6067        90.6067     14423.4502       425.1520
         0.5064        86.3000        90.0267        90.0267     14423.5703       424.9790
         0.5013        85.4200        89.4733        89.4733     14423.6904       424.8030
         0.4957        84.4800        88.9267        88.9267     14423.8096       424.6230
         0.4902        83.5400        88.3400        88.3400     14423.9297       424.4430
         0.4846        82.5800        87.6600        87.6600     14424.0498       424.2520
         0.4791        81.6400        86.9867        86.9867     14424.1699       424.0610
         0.4743        80.8200        86.3667        86.3667     14424.2900       423.8810
         0.4696        80.0200        85.7533        85.7533     14424.4102       423.7130
         0.4653        79.3000        85.1733        85.1733     14424.5303       423.5440
         0.4610        78.5600        84.6200        84.6200     14424.6504       423.3790
         0.4564        77.7800        84.0733        84.0733     14424.7695       423.2150
         0.4519        77.0000        83.5200        83.5200     14424.8896       423.0430
         0.4467        76.1200        82.9400        82.9400     14425.0098       422.8640
         0.4419        75.3000        82.2600        82.2600     14425.1299       422.6840
         0.4372        74.5000        81.6133        81.6133     14425.2500       422.5050
         0.4324        73.6800        81.0267        81.0267     14425.3701       422.3250
         0.4274        72.8400        80.5133        80.5133     14425.4902       422.1490
         0.4227        72.0400        79.9267        79.9267     14425.6104       421.9760
         0.4185        71.3200        79.3133        79.3133     14425.7305       421.8050
         0.4139        70.5400        78.7000        78.7000     14425.8496       421.6280
         0.4091        69.7200        78.0867        78.0867     14425.9697       421.4540
         0.4046        68.9400        77.4667        77.4667     14426.0898       421.2790
         0.4004        68.2400        76.8200        76.8200     14426.2100       421.1070
         0.3961        67.5000        76.2400        76.2400     14426.3301       420.9340 
         0.3916        66.7400        75.7533        75.7533     14426.4502       420.7700
  #
         0.3850        66.0600        75.0133        75.1400     14426.5703       420.6050
  #
  #      0.3922        66.8400        74.7200        74.7200     14427.0801       420.4790
  #      0.3981        67.8400        74.7200        74.7200     14427.5898       420.5000
  #      0.4051        69.0400        74.8467        74.8467     14428.0996       420.5570
  #      0.4097        69.8200        74.9467        74.9467     14428.6104       420.5890
         0.4128        70.3400        75.0133        75.0133     14429.1201       420.6020
         0.4148        70.6800        75.0133        75.0133     14429.6299       420.6020
         0.4169        71.0400        75.0133        75.0133     14430.1396       420.6020
         0.4185        71.3200        75.0133        75.0133     14430.6504       420.6020
         0.4203        71.6200        75.0133        75.0133     14431.1602       420.6020
         0.4218        71.8800        75.0133        75.0133     14431.6699       420.6020
         0.4231        72.1000        75.0133        75.0133     14432.1797       420.6020
         0.4244        72.3200        75.0133        75.0133     14432.6904       420.6020
         0.4256        72.5200        75.0133        75.0133     14433.2002       420.6020
         0.4266        72.7000        75.0133        75.0133     14433.7100       420.6020
         0.4277        72.8800        75.0133        75.0133     14434.2197       420.6020
         0.4287        73.0600        75.0133        75.0133     14434.7305       420.6030
         0.4296        73.2000        75.0133        75.0133     14435.2402       420.6030
         0.4304        73.3400        75.0133        75.0133     14435.7500       420.6030
         0.4313        73.5000        75.0133        75.0133     14436.2598       420.6030
         0.4321        73.6400        75.0133        75.0133     14436.7695       420.6030
         0.4328        73.7600        75.0133        75.0133     14437.2803       420.6030
         0.4335        73.8800        75.0133        75.0133     14437.7900       420.6030
         0.4341        73.9800        75.0133        75.0133     14438.2998       420.6030
         0.4350        74.1200        75.0133        75.0133     14438.8096       420.6030
         0.4355        74.2200        75.0133        75.0133     14439.3203       420.6030
         0.4361        74.3200        75.0133        75.0133     14439.8301       420.6030
         0.4367        74.4200        75.0133        75.0133     14440.3398       420.6030
         0.4372        74.5000        75.0133        75.0133     14440.8496       420.6030
         0.4378        74.6000        75.0133        75.0133     14441.3604       420.6030
         0.4382        74.6800        75.0133        75.0133     14441.8701       420.6030
         0.4389        74.8000        75.0133        75.0133     14442.3799       420.6030
         0.4393        74.8600        75.0133        75.0133     14442.8896       420.6030
         0.4399        74.9600        75.0133        75.0133     14443.4004       420.6030
         0.4402        75.0200        75.0133        75.0133     14443.9102       420.6030
         0.4407        75.1000        75.0133        75.0133     14444.4199       420.6030
         0.4412        75.1800        75.0133        75.0133     14444.9297       420.6030
         0.4415        75.2400        75.0133        75.0133     14445.4404       420.6030
         0.4420        75.3200        75.0133        75.0133     14445.9502       420.6040
         0.4423        75.3800        75.0133        75.0133     14446.4600       420.6040
         0.4428        75.4600        75.0133        75.0133     14446.9697       420.6040
         0.4432        75.5200        75.0133        75.0133     14447.4805       420.6040
         0.4435        75.5800        75.0133        75.0133     14447.9902       420.6040
         0.4440        75.6600        75.0133        75.0133     14448.5000       420.6040
         0.4442        75.7000        75.0133        75.0133     14449.0098       420.6040
         0.4446        75.7600        75.0133        75.0133     14449.5195       420.6040
         0.4449        75.8200        75.0133        75.0133     14450.0303       420.6040
         0.4453        75.8800        75.0133        75.0133     14450.5400       420.6040
         0.4456        75.9400        75.0133        75.0133     14451.0498       420.6040
         0.4460        76.0000        75.0133        75.0133     14451.5596       420.6040
         0.4462        76.0400        75.0133        75.0133     14452.0703       420.6040
         0.4466        76.1000        75.0133        75.0133     14452.5801       420.6040
         0.4468        76.1400        75.0133        75.0133     14453.0898       420.6040
         0.4470        76.1800        75.0133        75.0133     14453.5996       420.6040
         0.4474        76.2400        75.0133        75.0133     14454.1104       420.6040
         0.4476        76.2800        75.0133        75.0133     14454.6201       420.6040
         0.4481        76.3600        75.0133        75.0133     14455.1299       420.6040
         0.4482        76.3800        75.0133        75.0133     14455.6396       420.6040
         0.4484        76.4200        75.0133        75.0133     14456.1504       420.6040
         0.4646        79.1800        75.0133        75.0133     14516.1797       420.6040
         0.4715        80.3400        75.0133        75.0133     14576.2100       420.6040
         0.4757        81.0600        75.0133        75.0133     14636.2402       420.6040
         0.4786        81.5600        75.0133        75.0133     14696.2695       420.6040
         0.4808        81.9400        75.0133        75.0133     14756.2998       420.6040
         0.4827        82.2600        75.0133        75.0133     14816.3301       420.6040
         0.4842        82.5200        75.0133        75.0133     14876.3604       420.6040
         0.4855        82.7400        75.0133        75.0133     14936.3896       420.6040
         0.4866        82.9200        75.0133        75.0133     14996.4199       420.6040
         0.4875        83.0800        75.0133        75.0133     15056.4502       420.6040
         0.4884        83.2200        75.0133        75.0133     15116.4805       420.6040
         0.4891        83.3400        75.0133        75.0133     15176.5098       420.6040
         0.4896        83.4400        75.0133        75.0133     15236.5400       420.6040
         0.4902        83.5400        75.0133        75.0133     15296.5703       420.6040
         0.4908        83.6400        75.0133        75.0133     15356.5996       420.6040
         0.4912        83.7000        75.0133        75.0133     15416.6299       420.6040
   #     0.4915        83.7600        75.0400        75.0400     15476.6602       420.6040
         0.4911        83.6800        75.0133        75.0133     15536.6904       420.5540
         0.4915        83.7600        75.0133        75.0133     15596.7197       420.5540
         0.4920        83.8400        75.0133        75.0133     15656.7500       420.5540
         0.4922        83.8800        75.0133        75.0133     15716.7803       420.5540
         0.4925        83.9200        75.0133        75.0133     15776.8096       420.5540
         0.4928        83.9800        75.0133        75.0133     15836.8398       420.5540
         0.4930        84.0200        75.0133        75.0133     15896.8701       420.5540
         0.4933        84.0600        75.0133        75.0133     15956.9004       420.5540
         0.4934        84.0800        75.0133        75.0133     16016.9297       420.5540
         0.4936        84.1200        75.0133        75.0133     16076.9600       420.5540
         0.4938        84.1400        75.0133        75.0133     16136.9902       420.5540
         0.4940        84.1800        75.0133        75.0133     16197.0195       420.5540
         0.4941        84.2000        75.0133        75.0133     16257.0498       420.5540
         0.4943        84.2400        75.0133        75.0133     16317.0801       420.5540
         0.4946        84.2800        75.0133        75.0133     16377.1104       420.5540
         0.4946        84.2800        75.0133        75.0133     16437.1406       420.5540
         0.4947        84.3000        75.0133        75.0133     16497.1699       420.5540
         0.4948        84.3200        75.0133        75.0133     16557.1992       420.5540
         0.4948        84.3200        75.0133        75.0133     16617.2305       420.5540
         0.4949        84.3400        75.0133        75.0133     16677.2598       420.5540
         0.4952        84.3800        75.0133        75.0133     16737.2891       420.5540
         0.4952        84.3800        75.0133        75.0133     16797.3203       420.5540
         0.4952        84.3800        75.0133        75.0133     16857.3496       420.5540
         0.4953        84.4000        75.0133        75.0133     16917.3809       420.5540
         0.4954        84.4200        75.0133        75.0133     16977.4102       420.5540
         0.4954        84.4200        75.0133        75.0133     17037.4395       420.5540
         0.4955        84.4400        75.0133        75.0133     17097.4707       420.5540
         0.4955        84.4400        75.0133        75.0133     17157.5000       420.5540
         0.4955        84.4400        75.0133        75.0133     17217.5293       420.5540
         0.4955        84.4400        75.0133        75.0133     17277.5605       420.5540
         0.4956        84.4600        75.0133        75.0133     17337.5898       420.5540
         0.4956        84.4600        75.0133        75.0133     17397.6191       420.5540
         0.4957        84.4800        75.0133        75.0133     17457.6504       420.5540
         0.4957        84.4800        75.0133        75.0133     17517.6797       420.5540
         0.4957        84.4800        75.0133        75.0133     17577.7109       420.5540
         0.4957        84.4800        75.0133        75.0133     17637.7402       420.5540
         0.4959        84.5000        75.0133        75.0133     17697.7695       420.5540
         0.4959        84.5000        75.0133        75.0133     17757.8008       420.5540
         0.4959        84.5000        75.0133        75.0133     17817.8301       420.5540
         0.4959        84.5000        75.0133        75.0133     17877.8594       420.5540
         0.4959        84.5000        75.0133        75.0133     17937.8906       420.5540
         0.4959        84.5000        75.0133        75.0133     17997.9199       420.5540
         0.4957        84.4800        75.0133        75.0133     18026.6309       420.5540
         0.4959        84.5000        75.0133        75.0133     18026.7500       420.5540
         0.4959        84.5000        75.0133        75.0133     18026.8691       420.5540
         0.4921        83.8600        74.6867        74.6867     18026.9902       420.4550
         0.4832        82.3400        74.1667        74.1667     18027.1094       420.2860
         0.4749        80.9200        73.5867        73.5867     18027.2305       420.1090
         0.4657        79.3600        72.9400        72.9400     18027.3496       419.9050
         0.4570        77.8800        72.2267        72.2267     18027.4707       419.6990
         0.4492        76.5400        71.5467        71.5467     18027.5898       419.5030
         0.4419        75.3000        70.9333        70.9333     18027.7109       419.3150
         0.4347        74.0800        70.2533        70.2533     18027.8301       419.1280
         0.4286        73.0400        69.6733        69.6733     18027.9492       418.9550
         0.4225        72.0000        69.0867        69.0867     18028.0703       418.7830
         0.4164        70.9600        68.5067        68.5067     18028.1895       418.6120
         0.4105        69.9600        67.9267        67.9267     18028.3105       418.4440
         0.4048        68.9800        67.3400        67.3400     18028.4297       418.2760
         0.3989        67.9800        66.7267        66.7267     18028.5508       418.1040
         0.3931        66.9800        66.1133        66.1133     18028.6699       417.9320
         0.3873        66.0000        65.4933        65.4933     18028.7891       417.7600
         0.3816        65.0200        64.9133        64.9133     18028.9102       417.5880
         0.3758        64.0400        64.3333        64.3333     18029.0293       417.4160
         0.3700        63.0600        63.7200        63.7200     18029.1504       417.2480
         0.3646        62.1400        63.1333        63.1333     18029.2695       417.0810
         0.3590        61.1800        62.5533        62.5533     18029.3906       416.9100
         0.3533        60.2000        61.9067        61.9067     18029.5098       416.7390
         0.3477        59.2600        61.2867        61.2867     18029.6309       416.5680
         0.3425        58.3600        60.7067        60.7067     18029.7500       416.4070
         0.3374        57.5000        60.2200        60.2200     18029.8691       416.2460
         0.3317        56.5200        59.6400        59.6400     18029.9902       416.0750
         0.3258        55.5200        58.9933        58.9933     18030.1094       415.8980
         0.3201        54.5400        58.3467        58.3467     18030.2305       415.7190
         0.3148        53.6400        57.7333        57.7333     18030.3496       415.5510
         0.3093        52.7000        57.1800        57.1800     18030.4707       415.3830
         0.3037        51.7600        56.5667        56.5667     18030.5898       415.2120
         0.2983        50.8400        55.9533        55.9533     18030.7109       415.0410
         0.2928        49.9000        55.3333        55.3333     18030.8301       414.8700
         0.2877        49.0200        54.7867        54.7867     18030.9492       414.7090
         0.2826        48.1600        54.2333        54.2333     18031.0703       414.5490
         0.2773        47.2600        53.6200        53.6200     18031.1895       414.3800
         0.2717        46.3000        52.9400        52.9400     18031.3105       414.2050
         0.2661        45.3400        52.3267        52.3267     18031.4297       414.0300
         0.2611        44.5000        51.7133        51.7133     18031.5508       413.8730
         0.2563        43.6800        51.2267        51.2267     18031.6699       413.7170
         0.2512        42.8000        50.6467        50.6467     18031.7891       413.5520
         0.2458        41.8800        50.0267        50.0267     18031.9102       413.3810
    #    0.2540        43.2800        49.7400        49.7400     18032.4199       413.3170
