#
#
#
#
#
#
#
#   Quelldatei:groundel100-25.gxx  
#    Zieldatei:groundel100-25.dat  
#
#  Querschnitt:   170.410
#   Messlaenge:    15.000
#     [N/mm**2]            [N]        [%-ext]       [%-trav]            [s]           [mm]
#
         0.4146        70.6600        25.0467        25.0467        32.8100       406.2030
         0.4142        70.5800        25.0467        25.0467        33.3200       406.2030
         0.4137        70.5000        25.0467        25.0467        33.8300       406.2030
         0.4132        70.4200        25.0467        25.0467        34.3400       406.2030
         0.4128        70.3400        25.0467        25.0467        34.8500       406.2030
         0.3823        65.1400        25.0467        25.0467        94.8500       406.2030
         0.3692        62.9200        25.0467        25.0467       154.8800       406.2030
         0.3610        61.5200        25.0467        25.0467       214.9100       406.2030
         0.3551        60.5200        25.0467        25.0467       274.9400       406.2030
         0.3506        59.7400        25.0467        25.0467       334.9700       406.2030
         0.3469        59.1200        25.0467        25.0467       395.0000       406.2030
         0.3439        58.6000        25.0467        25.0467       455.0300       406.2030
         0.3413        58.1600        25.0467        25.0467       515.0600       406.2030
         0.3391        57.7800        25.0467        25.0467       575.0900       406.2030
         0.3371        57.4400        25.0467        25.0467       635.0900       406.2030
         0.3353        57.1400        25.0467        25.0467       695.1200       406.2030
         0.3337        56.8600        25.0467        25.0467       755.1500       406.2030
         0.3323        56.6200        25.0467        25.0467       815.1800       406.2030
         0.3310        56.4000        25.0467        25.0467       875.2100       406.2030
         0.3298        56.2000        25.0467        25.0467       935.2400       406.2030
         0.3287        56.0200        25.0467        25.0467       995.2700       406.2030
         0.3276        55.8200        25.0467        25.0467      1055.2700       406.2030
         0.3266        55.6600        25.0467        25.0467      1115.3000       406.2030
         0.3257        55.5000        25.0467        25.0467      1175.3300       406.2030
         0.3264        55.6200        25.0467        25.0467      1235.3600       406.2590
         0.3255        55.4600        25.0467        25.0467      1295.3900       406.2590
         0.3246        55.3200        25.0467        25.0467      1355.4200       406.2590
         0.3239        55.2000        25.0467        25.0467      1415.4500       406.2590
         0.3232        55.0800        25.0467        25.0467      1475.4800       406.2590
         0.3225        54.9600        25.0467        25.0467      1535.5100       406.2590
         0.3219        54.8600        25.0467        25.0467      1595.5400       406.2590
         0.3212        54.7400        25.0467        25.0467      1655.5699       406.2590
         0.3206        54.6400        25.0467        25.0467      1715.6000       406.2590
         0.3201        54.5400        25.0467        25.0467      1775.6300       406.2590
         0.3196        54.4600        25.0467        25.0467      1835.6600       406.2590
         0.3190        54.3600        25.0467        25.0467      1895.6899       406.2590
         0.3186        54.3000        25.0467        25.0467      1955.7200       406.2590
         0.3181        54.2000        25.0467        25.0467      2015.7500       406.2590
         0.3176        54.1200        25.0467        25.0467      2075.7800       406.2590
         0.3171        54.0400        25.0467        25.0467      2135.8101       406.2590
         0.3168        53.9800        25.0467        25.0467      2195.8401       406.2590
         0.3164        53.9200        25.0467        25.0467      2255.8701       406.2590
         0.3159        53.8400        25.0467        25.0467      2315.8999       406.2590
         0.3156        53.7800        25.0467        25.0467      2375.9299       406.2590
         0.3150        53.6800        25.0467        25.0467      2435.9600       406.2590
         0.3148        53.6400        25.0467        25.0467      2495.9900       406.2590
         0.3144        53.5800        25.0467        25.0467      2556.0200       406.2590
         0.3141        53.5200        25.0467        25.0467      2616.0500       406.2590
         0.3136        53.4400        25.0467        25.0467      2676.0801       406.2590
         0.3132        53.3800        25.0467        25.0467      2736.1101       406.2590
         0.3131        53.3600        25.0467        25.0467      2796.1399       406.2590
         0.3128        53.3000        25.0467        25.0467      2856.1699       406.2590
         0.3123        53.2200        25.0467        25.0467      2916.2000       406.2590
         0.3122        53.2000        25.0467        25.0467      2976.2300       406.2590
         0.3118        53.1400        25.0467        25.0467      3036.2600       406.2590
         0.3125        53.2600        25.0467        25.0467      3096.2900       406.2770
         0.3122        53.2000        25.0467        25.0467      3156.3201       406.2770
         0.3118        53.1400        25.0467        25.0467      3216.3501       406.2770
         0.3116        53.1000        25.0467        25.0467      3276.3799       406.2770
         0.3114        53.0600        25.0467        25.0467      3336.4099       406.2770
         0.3110        53.0000        25.0467        25.0467      3396.4399       406.2770
         0.3108        52.9600        25.0467        25.0467      3456.4700       406.2770
         0.3105        52.9200        25.0467        25.0467      3516.5000       406.2770
         0.3103        52.8800        25.0467        25.0467      3576.5300       406.2770
         0.3102        52.8600        25.0467        25.0467      3605.3301       406.2770
         0.3102        52.8600        25.0467        25.0467      3605.4500       406.2770
         0.3102        52.8600        25.0467        25.0467      3605.5701       406.2770
         0.3157        53.8000        25.3733        25.3733      3605.6899       406.3750
         0.3299        56.2200        25.9200        25.9200      3605.8101       406.5450
         0.3431        58.4600        26.4067        26.4067      3605.9299       406.7240
         0.3575        60.9200        27.1200        27.1200      3606.0500       406.9320
         0.3709        63.2000        27.8000        27.8000      3606.1699       407.1400
         0.3833        65.3200        28.4133        28.4133      3606.2900       407.3410
         0.3947        67.2600        29.0267        29.0267      3606.4099       407.5380
         0.4057        69.1400        29.6067        29.6067      3606.5300       407.7320
         0.4158        70.8600        30.1933        30.1933      3606.6499       407.9210
         0.4257        72.5400        30.8067        30.8067      3606.7700       408.1090
         0.4354        74.2000        31.4200        31.4200      3606.8899       408.2990
         0.4447        75.7800        32.0333        32.0333      3607.0100       408.4900
         0.4541        77.3800        32.6867        32.6867      3607.1299       408.6810
         0.4625        78.8200        33.2667        33.2667      3607.2500       408.8630
         0.4707        80.2200        33.8467        33.8467      3607.3701       409.0420
         0.4786        81.5600        34.4667        34.4667      3607.4900       409.2230
         0.4864        82.8800        35.0800        35.0800      3607.6101       409.4020
         0.4941        84.2000        35.6933        35.6933      3607.7300       409.5830
         0.5009        85.3600        36.2733        36.2733      3607.8501       409.7540
         0.5077        86.5200        36.8600        36.8600      3607.9700       409.9270
